index,equity
940,10436.562444748208
941,10436.562444748208
942,10436.562444748208
943,10436.562444748208
944,10436.562444748208
945,10436.562444748208
946,10436.562444748208
947,10436.562444748208
948,10436.562444748208
949,10436.562444748208
950,10436.562444748208
951,10436.562444748208
952,10436.562444748208
953,10436.562444748208
954,10436.562444748208
955,10436.562444748208
956,10436.562444748208
957,10436.562444748208
958,10436.562444748208
959,10436.562444748208
960,10436.562444748208
961,10436.562444748208
962,10436.562444748208
963,10436.562444748208
964,10436.562444748208
965,10436.562444748208
966,10436.562444748208
967,10436.562444748208
968,10436.562444748208
969,10436.562444748208
970,10436.562444748208
971,10436.562444748208
972,10436.562444748208
973,10436.562444748208
974,10436.562444748208
975,10436.562444748208
976,10520.866486261175
977,10520.866486261175
978,10520.866486261175
979,10520.866486261175
980,10520.866486261175
981,10520.866486261175
982,10520.866486261175
983,10520.866486261175
984,10520.866486261175
985,10520.866486261175
986,10520.866486261175
987,10520.866486261175
988,10520.866486261175
989,10520.866486261175
990,10520.866486261175
991,10520.866486261175
992,10520.866486261175
993,10520.866486261175
994,10520.866486261175
995,10520.866486261175
996,10577.932571777563
997,10577.932571777563
998,10577.932571777563
999,10577.932571777563
1000,10577.932571777563
1001,10577.932571777563
1002,10577.932571777563
1003,10577.932571777563
1004,10577.932571777563
1005,10577.932571777563
1006,10577.932571777563
1007,10577.932571777563
1008,10577.932571777563
1009,10577.932571777563
1010,10577.932571777563
1011,10577.932571777563
1012,10622.713098273718
1013,10622.713098273718
1014,10622.713098273718
1015,10622.713098273718
1016,10622.713098273718
1017,10622.713098273718
1018,10622.713098273718
1019,10622.713098273718
1020,10622.713098273718
1021,10622.713098273718
1022,10622.713098273718
1023,10622.713098273718
1024,10622.713098273718
1025,10622.713098273718
1026,10622.713098273718
1027,10622.713098273718
1028,10622.713098273718
1029,10622.713098273718
1030,10622.713098273718
1031,10622.713098273718
1032,10622.713098273718
1033,10622.713098273718
1034,10622.713098273718
1035,10622.713098273718
1036,10622.713098273718
1037,10622.713098273718
1038,10622.713098273718
1039,10622.713098273718
1040,10622.713098273718
1041,10622.713098273718
1042,10622.713098273718
1043,10622.713098273718
1044,10622.713098273718
1045,10622.713098273718
1046,10622.713098273718
1047,10622.713098273718
1048,10622.713098273718
1049,10622.713098273718
1050,10622.713098273718
1051,10622.713098273718
1052,10622.713098273718
1053,10622.713098273718
1054,10622.713098273718
1055,10622.713098273718
1056,10622.713098273718
1057,10622.713098273718
1058,10622.713098273718
1059,10622.713098273718
1060,10622.713098273718
1061,10622.713098273718
1062,10622.713098273718
1063,10622.713098273718
1064,10622.713098273718
1065,10622.713098273718
1066,10622.713098273718
1067,10622.713098273718
1068,10622.713098273718
1069,10622.713098273718
1070,10622.713098273718
1071,10622.713098273718
1072,10622.713098273718
1073,10582.500383960452
1074,10582.500383960452
1075,10582.500383960452
1076,10582.500383960452
1077,10582.500383960452
1078,10582.500383960452
1079,10582.500383960452
1080,10582.500383960452
1081,10582.500383960452
1082,10582.500383960452
1083,10582.500383960452
1084,10582.500383960452
1085,10582.500383960452
1086,10582.500383960452
1087,10582.500383960452
1088,10582.500383960452
1089,10582.500383960452
1090,10582.500383960452
1091,10582.500383960452
1092,10582.500383960452
1093,10582.500383960452
1094,10582.500383960452
1095,10582.500383960452
1096,10582.500383960452
1097,10582.500383960452
1098,10582.500383960452
1099,10696.148914053445
1100,10696.148914053445
1101,10696.148914053445
1102,10696.148914053445
1103,10696.148914053445
1104,10696.148914053445
1105,10696.148914053445
1106,10696.148914053445
1107,10696.148914053445
1108,10696.148914053445
1109,10696.148914053445
1110,10696.148914053445
1111,10696.148914053445
1112,10696.148914053445
1113,10696.148914053445
1114,10696.148914053445
1115,10696.148914053445
1116,10696.148914053445
1117,10708.944140692352
1118,10708.944140692352
1119,10708.944140692352
1120,10708.944140692352
1121,10708.944140692352
1122,10708.944140692352
1123,10708.944140692352
1124,10708.944140692352
1125,10708.944140692352
1126,10708.944140692352
1127,10708.944140692352
1128,10708.944140692352
1129,10708.944140692352
1130,10708.944140692352
1131,10708.944140692352
1132,10708.944140692352
1133,10708.944140692352
1134,10708.944140692352
1135,10708.944140692352
1136,10708.944140692352
1137,10708.944140692352
1138,10708.944140692352
1139,10708.944140692352
1140,10708.944140692352
1141,10708.944140692352
1142,10708.944140692352
1143,10803.056198166638
1144,10803.056198166638
1145,10803.056198166638
1146,10803.056198166638
1147,10803.056198166638
1148,10803.056198166638
1149,10803.056198166638
1150,10803.056198166638
1151,10803.056198166638
1152,10803.056198166638
1153,10803.056198166638
1154,10803.056198166638
1155,10803.056198166638
1156,10803.056198166638
1157,10803.056198166638
1158,10803.056198166638
1159,10803.056198166638
1160,10803.056198166638
1161,10803.056198166638
1162,10803.056198166638
1163,10803.056198166638
1164,10803.056198166638
1165,10803.056198166638
1166,10803.056198166638
1167,10803.056198166638
1168,10803.056198166638
1169,10803.056198166638
1170,10803.056198166638
1171,10803.056198166638
1172,10803.056198166638
1173,10803.056198166638
1174,10803.056198166638
1175,10803.056198166638
1176,10803.056198166638
1177,10803.056198166638
1178,10803.056198166638
1179,10803.056198166638
